_c0,Date,Number_of_Retweets,Tweet
20,"22 April",227,"RT @Dr_Woga: 🇷🇺💥🤛💪🇺🇦❤🇺🇦💪🤜💥🇷🇺

DESTRUCTION OF UKRAINE   NO. 1

This drone footage shows the incredible devastation of Mariupol from the Russ…"
22,"22 April",67,"RT @CanadaFP: The Russian regime has made it illegal to independently report on the war in Ukraine. 

Through Kremlin control, Russia’s med…"
23,"22 April",99,"RT @Dr_Woga: 🇷🇺💥🤛💪🇺🇦❤🇺🇦💪🤜💥🇷🇺

SUPPORT UKRAINE   NO. 3

The only strategy Russia knows is killing civilians and destroying infrastructure.…"
25,"22 April",91,"RT @Mariana_Betsa: That’s what Russian invaders do… A beautiful girl Maryna (15) from Kharkiv oblast. Russia bombarded her home. #StopRussi…"
26,"22 April",67,"RT @CanadaFP: The Russian regime has made it illegal to independently report on the war in Ukraine. 

Through Kremlin control, Russia’s med…"
27,"22 April",327,"RT @PmurtTrump: FRIDAY DEMOCRATIC MEET UP!

November 8th will be here before we know it. Build the 🌊 blue wave🌊 to save our democracy from…"
28,"22 April",167,"RT @Ironhorse76: Happy Friday, Family!

FOLLOW ALL WHO: 

Lk
RT 
Cmt

RT if you agree - 🇺🇸🇺🇸🇺🇸 These midterms will determine the trajectory…"
29,"22 April",73,"RT @halyapuff: #Russia 'sentences' #CrimeanTatar leader Mustafa #Dzhemilev for seeking to enter his native #Crimea 
#Ukraine #LetMyPeopleGo…"
30,"22 April",1400,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
32,"22 April",67,"RT @CanadaFP: The Russian regime has made it illegal to independently report on the war in Ukraine. 

Through Kremlin control, Russia’s med…"
33,"22 April",163,"RT @FCDOGovUK: We’re planning for Her Majesty’s Ambassador to Ukraine @MelSimmonsFCDO to return to Kyiv, and will re-open the British Embas…"
35,"22 April",1400,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
36,"22 April",1400,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
37,"22 April",73,"RT @halyapuff: #Russia 'sentences' #CrimeanTatar leader Mustafa #Dzhemilev for seeking to enter his native #Crimea 
#Ukraine #LetMyPeopleGo…"
38,"22 April",291,"RT @olex_scherba: Yo Yo Ma thanking those who help - and playing #Ukraine’s national anthem. Thank you!

#StandWithUkraine #ArmUkraineNow h…"
39,"22 April",1332,"RT @Klitschko: This is the recipe for resistance: women and men of good will. Thank you World Central Kitchen for your precious help! #Chef…"
40,"22 April",67,"RT @CanadaFP: The Russian regime has made it illegal to independently report on the war in Ukraine. 

Through Kremlin control, Russia’s med…"
41,"22 April",167,"RT @Ironhorse76: Happy Friday, Family!

FOLLOW ALL WHO: 

Lk
RT 
Cmt

RT if you agree - 🇺🇸🇺🇸🇺🇸 These midterms will determine the trajectory…"
43,"22 April",1400,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
49,"22 April",67,"RT @CanadaFP: The Russian regime has made it illegal to independently report on the war in Ukraine. 

Through Kremlin control, Russia’s med…"
50,"22 April",73,"RT @halyapuff: #Russia 'sentences' #CrimeanTatar leader Mustafa #Dzhemilev for seeking to enter his native #Crimea 
#Ukraine #LetMyPeopleGo…"
51,"22 April",272,"RT @DiariesMariupol: The world should know what horrors the people of #Mariupol went through. 

Read the true story of a mother who survive…"
52,"22 April",67,"RT @CanadaFP: The Russian regime has made it illegal to independently report on the war in Ukraine. 

Through Kremlin control, Russia’s med…"
55,"22 April",1400,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
58,"22 April",500,"RT @olex_scherba: A cemetery near #Chernihiv.
#RussianArmy paid a visit. 

#StandWithUkraine #StopRussia #ArmUkraineNow https://t.co/4ec4zp…"
60,"22 April",67,"RT @CanadaFP: The Russian regime has made it illegal to independently report on the war in Ukraine. 

Through Kremlin control, Russia’s med…"
64,"22 April",1332,"RT @Klitschko: This is the recipe for resistance: women and men of good will. Thank you World Central Kitchen for your precious help! #Chef…"
66,"22 April",1400,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
67,"22 April",167,"RT @Ironhorse76: Happy Friday, Family!

FOLLOW ALL WHO: 

Lk
RT 
Cmt

RT if you agree - 🇺🇸🇺🇸🇺🇸 These midterms will determine the trajectory…"
68,"22 April",291,"RT @olex_scherba: Yo Yo Ma thanking those who help - and playing #Ukraine’s national anthem. Thank you!

#StandWithUkraine #ArmUkraineNow h…"
69,"22 April",67,"RT @CanadaFP: The Russian regime has made it illegal to independently report on the war in Ukraine. 

Through Kremlin control, Russia’s med…"
70,"22 April",1400,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
71,"22 April",508,"RT @Dr_Woga: 🇷🇺💥🤛💪🇺🇦❤🇺🇦💪🤜💥🇷🇺

""I SURVIVED HITLER, SURVIVED STALIN AND I WILL SURVIVE THAT ASSHOLE PUTIN TOO!"",

says 96-year-old Ukrainian…"
72,"22 April",67,"RT @CanadaFP: The Russian regime has made it illegal to independently report on the war in Ukraine. 

Through Kremlin control, Russia’s med…"
73,"22 April",175,"RT @Dr_Woga: 🇷🇺💥🤛💪🇺🇦❤🇺🇦💪🤜💥🇷🇺

It's so hilarious.

The #Ukraine flag was projected onto the Russian Embassy in #DC.
Of course, the Russians…"
75,"22 April",167,"RT @Ironhorse76: Happy Friday, Family!

FOLLOW ALL WHO: 

Lk
RT 
Cmt

RT if you agree - 🇺🇸🇺🇸🇺🇸 These midterms will determine the trajectory…"
76,"22 April",2359,"RT @avalaina: From 24th of February we had very little joys. But when we have it, it is very sincere happiness.
#StandWithUkraine https://t…"
78,"22 April",67,"RT @CanadaFP: The Russian regime has made it illegal to independently report on the war in Ukraine. 

Through Kremlin control, Russia’s med…"
79,"22 April",91,"RT @Mariana_Betsa: That’s what Russian invaders do… A beautiful girl Maryna (15) from Kharkiv oblast. Russia bombarded her home. #StopRussi…"
80,"22 April",67,"RT @CanadaFP: The Russian regime has made it illegal to independently report on the war in Ukraine. 

Through Kremlin control, Russia’s med…"
81,"22 April",1332,"RT @Klitschko: This is the recipe for resistance: women and men of good will. Thank you World Central Kitchen for your precious help! #Chef…"
82,"22 April",1332,"RT @Klitschko: This is the recipe for resistance: women and men of good will. Thank you World Central Kitchen for your precious help! #Chef…"
83,"22 April",71,"RT @Dr_Woga: 🇷🇺💥🤛💪🇺🇦❤🇺🇦💪🤜💥🇷🇺

Obama: I Underestimated the Threat of Disinformation

 https://t.co/U3YVuTC542 
 
#Ukraine
#StandWithUkraine…"
85,"22 April",1400,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
86,"22 April",1400,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
87,"22 April",99,"RT @Dr_Woga: 🇷🇺💥🤛💪🇺🇦❤🇺🇦💪🤜💥🇷🇺

SUPPORT UKRAINE   NO. 3

The only strategy Russia knows is killing civilians and destroying infrastructure.…"
88,"22 April",70,"RT @AliAbunimah: So telling that while the @EUinIsrael @EUpalestinians raised the flag of Ukraine and held events to say they #StandWithUkr…"
89,"22 April",67,"RT @CanadaFP: The Russian regime has made it illegal to independently report on the war in Ukraine. 

Through Kremlin control, Russia’s med…"
90,"22 April",73,"RT @halyapuff: #Russia 'sentences' #CrimeanTatar leader Mustafa #Dzhemilev for seeking to enter his native #Crimea 
#Ukraine #LetMyPeopleGo…"
91,"22 April",1400,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
92,"22 April",1332,"RT @Klitschko: This is the recipe for resistance: women and men of good will. Thank you World Central Kitchen for your precious help! #Chef…"
93,"22 April",67,"RT @CanadaFP: The Russian regime has made it illegal to independently report on the war in Ukraine. 

Through Kremlin control, Russia’s med…"
94,"22 April",1332,"RT @Klitschko: This is the recipe for resistance: women and men of good will. Thank you World Central Kitchen for your precious help! #Chef…"
97,"22 April",500,"RT @olex_scherba: A cemetery near #Chernihiv.
#RussianArmy paid a visit. 

#StandWithUkraine #StopRussia #ArmUkraineNow https://t.co/4ec4zp…"
99,"22 April",67,"RT @CanadaFP: The Russian regime has made it illegal to independently report on the war in Ukraine. 

Through Kremlin control, Russia’s med…"
1,"22 April",1362,"RT @Klitschko: This is the recipe for resistance: women and men of good will. Thank you World Central Kitchen for your precious help! #Chef…"
2,"22 April",293,"RT @olex_scherba: Yo Yo Ma thanking those who help - and playing #Ukraine’s national anthem. Thank you!

#StandWithUkraine #ArmUkraineNow h…"
3,"22 April",59,"RT @Mariana_Betsa: Appeasement does not work. Fear - does not work. What does work - bravery and resistance, heavy weaponry, devastating sa…"
4,"22 April",248,"RT @Amy_Siskind: Ukrainian officials say 20,000 plus civilians are dead in Mariupol, and Putin is trying to hide the evidence of war crimes…"
5,"22 April",67,"RT @CitizenWonk: Polish women band together to give Ukrainian women rides to safety!
Women are showing the world what #StandWithUkraine loo…"
7,"22 April",1456,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
8,"22 April",354,"RT @DariaBilodid: I am UKRAINIAN 💙💛 and I proud of it!

#StandWithUkraine #Ukraine https://t.co/UvUm8swt89"
9,"22 April",1456,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
10,"22 April",201,"RT @Denys_Shmyhal: Met with 🇺🇸 Secretary of Transportation @SecretaryPete. Told about significant losses of #Ukraine due to russia's milita…"
11,"22 April",166,"RT @FCDOGovUK: We’re planning for Her Majesty’s Ambassador to Ukraine @MelSimmonsFCDO to return to Kyiv, and will re-open the British Embas…"
12,"22 April",181,"RT @Ironhorse76: Happy Friday, Family!

FOLLOW ALL WHO: 

Lk
RT 
Cmt

RT if you agree - 🇺🇸🇺🇸🇺🇸 These midterms will determine the trajectory…"
15,"22 April",1456,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
18,"22 April",59,"RT @Mariana_Betsa: Appeasement does not work. Fear - does not work. What does work - bravery and resistance, heavy weaponry, devastating sa…"
19,"22 April",1362,"RT @Klitschko: This is the recipe for resistance: women and men of good will. Thank you World Central Kitchen for your precious help! #Chef…"
20,"22 April",1456,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
21,"22 April",1456,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
22,"22 April",1456,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
26,"22 April",181,"RT @Ironhorse76: Happy Friday, Family!

FOLLOW ALL WHO: 

Lk
RT 
Cmt

RT if you agree - 🇺🇸🇺🇸🇺🇸 These midterms will determine the trajectory…"
32,"22 April",223,"RT @olex_scherba: #RussianArmy intercept. 

- How are you planning to bring what you said?
- Not bringing anything anymore.
- Good. Was a s…"
34,"22 April",181,"RT @Ironhorse76: Happy Friday, Family!

FOLLOW ALL WHO: 

Lk
RT 
Cmt

RT if you agree - 🇺🇸🇺🇸🇺🇸 These midterms will determine the trajectory…"
36,"22 April",293,"RT @olex_scherba: Yo Yo Ma thanking those who help - and playing #Ukraine’s national anthem. Thank you!

#StandWithUkraine #ArmUkraineNow h…"
38,"22 April",1456,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
39,"22 April",312,"RT @DefenceHQ: Latest Defence Intelligence update on the situation in Ukraine - 22 April 2022
 
Find out more about the UK government's res…"
40,"22 April",9842,"RT @electroboyusa: 🇺🇦 If you are praying for President Zelenskyy, his wife and children, I want to follow you!

🇺🇦 And please RETWEET for p…"
41,"22 April",312,"RT @DefenceHQ: Latest Defence Intelligence update on the situation in Ukraine - 22 April 2022
 
Find out more about the UK government's res…"
43,"22 April",1456,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
44,"22 April",181,"RT @Ironhorse76: Happy Friday, Family!

FOLLOW ALL WHO: 

Lk
RT 
Cmt

RT if you agree - 🇺🇸🇺🇸🇺🇸 These midterms will determine the trajectory…"
46,"22 April",9842,"RT @electroboyusa: 🇺🇦 If you are praying for President Zelenskyy, his wife and children, I want to follow you!

🇺🇦 And please RETWEET for p…"
49,"22 April",927,"RT @olex_scherba: A Mariupol grave. „A no-name babushka“…
God, please punish #Putin and pro-Putin #Russia for this. Some day, some time, bu…"
50,"22 April",508,"RT @olex_scherba: A cemetery near #Chernihiv.
#RussianArmy paid a visit. 

#StandWithUkraine #StopRussia #ArmUkraineNow https://t.co/4ec4zp…"
51,"22 April",125,"RT @Dr_Woga: 🇷🇺💥🤛💪🇺🇦❤🇺🇦💪🤜💥🇷🇺

DESTRUCTION OF UKRAINE   NO. 5

Listen what Makar, a 7-year-old boy from Mariupol, has to say.
 
📣🔔PLEASE RET…"
53,"22 April",79,"RT @halyapuff: #Russia 'sentences' #CrimeanTatar leader Mustafa #Dzhemilev for seeking to enter his native #Crimea 
#Ukraine #LetMyPeopleGo…"
54,"22 April",338,"RT @PmurtTrump: FRIDAY DEMOCRATIC MEET UP!

November 8th will be here before we know it. Build the 🌊 blue wave🌊 to save our democracy from…"
55,"22 April",1456,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
57,"22 April",248,"RT @Amy_Siskind: Ukrainian officials say 20,000 plus civilians are dead in Mariupol, and Putin is trying to hide the evidence of war crimes…"
58,"22 April",434,"RT @avalaina: Russians have to be accountable for all evil that they bring to our land and for all pain that they have done to our people.…"
59,"22 April",1456,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
60,"22 April",312,"RT @DefenceHQ: Latest Defence Intelligence update on the situation in Ukraine - 22 April 2022
 
Find out more about the UK government's res…"
61,"22 April",1362,"RT @Klitschko: This is the recipe for resistance: women and men of good will. Thank you World Central Kitchen for your precious help! #Chef…"
62,"22 April",9842,"RT @electroboyusa: 🇺🇦 If you are praying for President Zelenskyy, his wife and children, I want to follow you!

🇺🇦 And please RETWEET for p…"
64,"22 April",1456,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
67,"22 April",181,"RT @Ironhorse76: Happy Friday, Family!

FOLLOW ALL WHO: 

Lk
RT 
Cmt

RT if you agree - 🇺🇸🇺🇸🇺🇸 These midterms will determine the trajectory…"
70,"22 April",181,"RT @Ironhorse76: Happy Friday, Family!

FOLLOW ALL WHO: 

Lk
RT 
Cmt

RT if you agree - 🇺🇸🇺🇸🇺🇸 These midterms will determine the trajectory…"
72,"22 April",1456,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
73,"22 April",530,"RT @DefenceHQ: Latest Defence Intelligence update on the situation in Ukraine - 22 April 2022
 
Find out more about the UK government's res…"
74,"22 April",3582,"RT @Klitschko: We cannot lose this war, or we will lose our sovereignty and freedom. 

We would lose everything. 
So would Europe. 
We must…"
75,"22 April",1830,"RT @olex_scherba: #RussianArmy intercept. 

- They gave me a medal. 25 civilians were driving on a bus. Killed them all. 
- Yeah? And I met…"
76,"22 April",1362,"RT @Klitschko: This is the recipe for resistance: women and men of good will. Thank you World Central Kitchen for your precious help! #Chef…"
78,"22 April",181,"RT @Ironhorse76: Happy Friday, Family!

FOLLOW ALL WHO: 

Lk
RT 
Cmt

RT if you agree - 🇺🇸🇺🇸🇺🇸 These midterms will determine the trajectory…"
79,"22 April",1092,"RT @olex_scherba: A video goes around in #Ukraine - advising women how not to get raped if #RussianArmy caught you. Pee your pants, defecat…"
81,"22 April",88,"RT @Dr_Woga: 🇷🇺💥🤛💪🇺🇦❤🇺🇦💪🤜💥🇷🇺

""HITLER IS FASCIST NUMBER ONE 
AND
PUTIN IS FASCIST NUMBER TWO!"",

says 85-year-old Ukrainan Roman Shvartsman…"
82,"22 April",1456,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
83,"22 April",1362,"RT @Klitschko: This is the recipe for resistance: women and men of good will. Thank you World Central Kitchen for your precious help! #Chef…"
84,"22 April",434,"RT @avalaina: Russians have to be accountable for all evil that they bring to our land and for all pain that they have done to our people.…"
86,"22 April",530,"RT @DefenceHQ: Latest Defence Intelligence update on the situation in Ukraine - 22 April 2022
 
Find out more about the UK government's res…"
88,"22 April",280,"RT @DiariesMariupol: The world should know what horrors the people of #Mariupol went through. 

Read the true story of a mother who survive…"
90,"22 April",508,"RT @olex_scherba: A cemetery near #Chernihiv.
#RussianArmy paid a visit. 

#StandWithUkraine #StopRussia #ArmUkraineNow https://t.co/4ec4zp…"
92,"22 April",930,"RT @olex_scherba: The occupied Melitopol. Ukrainian man tears down Putin’s disgusting tricolor.

#StandWithUkraine #ArmUkraineNow #StopRuss…"
94,"22 April",509,"RT @Dr_Woga: 🇷🇺💥🤛💪🇺🇦❤🇺🇦💪🤜💥🇷🇺

""I SURVIVED HITLER, SURVIVED STALIN AND I WILL SURVIVE THAT ASSHOLE PUTIN TOO!"",

says 96-year-old Ukrainian…"
95,"22 April",1456,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
0,"22 April",1447,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
1,"22 April",310,"RT @DefenceHQ: Latest Defence Intelligence update on the situation in Ukraine - 22 April 2022
 
Find out more about the UK government's res…"
2,"22 April",1359,"RT @Klitschko: This is the recipe for resistance: women and men of good will. Thank you World Central Kitchen for your precious help! #Chef…"
3,"22 April",9841,"RT @electroboyusa: 🇺🇦 If you are praying for President Zelenskyy, his wife and children, I want to follow you!

🇺🇦 And please RETWEET for p…"
5,"22 April",1447,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
8,"22 April",177,"RT @Ironhorse76: Happy Friday, Family!

FOLLOW ALL WHO: 

Lk
RT 
Cmt

RT if you agree - 🇺🇸🇺🇸🇺🇸 These midterms will determine the trajectory…"
11,"22 April",177,"RT @Ironhorse76: Happy Friday, Family!

FOLLOW ALL WHO: 

Lk
RT 
Cmt

RT if you agree - 🇺🇸🇺🇸🇺🇸 These midterms will determine the trajectory…"
13,"22 April",1447,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
14,"22 April",530,"RT @DefenceHQ: Latest Defence Intelligence update on the situation in Ukraine - 22 April 2022
 
Find out more about the UK government's res…"
15,"22 April",3582,"RT @Klitschko: We cannot lose this war, or we will lose our sovereignty and freedom. 

We would lose everything. 
So would Europe. 
We must…"
16,"22 April",1830,"RT @olex_scherba: #RussianArmy intercept. 

- They gave me a medal. 25 civilians were driving on a bus. Killed them all. 
- Yeah? And I met…"
17,"22 April",1359,"RT @Klitschko: This is the recipe for resistance: women and men of good will. Thank you World Central Kitchen for your precious help! #Chef…"
19,"22 April",177,"RT @Ironhorse76: Happy Friday, Family!

FOLLOW ALL WHO: 

Lk
RT 
Cmt

RT if you agree - 🇺🇸🇺🇸🇺🇸 These midterms will determine the trajectory…"
20,"22 April",1092,"RT @olex_scherba: A video goes around in #Ukraine - advising women how not to get raped if #RussianArmy caught you. Pee your pants, defecat…"
22,"22 April",88,"RT @Dr_Woga: 🇷🇺💥🤛💪🇺🇦❤🇺🇦💪🤜💥🇷🇺

""HITLER IS FASCIST NUMBER ONE 
AND
PUTIN IS FASCIST NUMBER TWO!"",

says 85-year-old Ukrainan Roman Shvartsman…"
23,"22 April",1447,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
25,"22 April",1359,"RT @Klitschko: This is the recipe for resistance: women and men of good will. Thank you World Central Kitchen for your precious help! #Chef…"
26,"22 April",433,"RT @avalaina: Russians have to be accountable for all evil that they bring to our land and for all pain that they have done to our people.…"
28,"22 April",530,"RT @DefenceHQ: Latest Defence Intelligence update on the situation in Ukraine - 22 April 2022
 
Find out more about the UK government's res…"
30,"22 April",279,"RT @DiariesMariupol: The world should know what horrors the people of #Mariupol went through. 

Read the true story of a mother who survive…"
32,"22 April",506,"RT @olex_scherba: A cemetery near #Chernihiv.
#RussianArmy paid a visit. 

#StandWithUkraine #StopRussia #ArmUkraineNow https://t.co/4ec4zp…"
34,"22 April",930,"RT @olex_scherba: The occupied Melitopol. Ukrainian man tears down Putin’s disgusting tricolor.

#StandWithUkraine #ArmUkraineNow #StopRuss…"
36,"22 April",509,"RT @Dr_Woga: 🇷🇺💥🤛💪🇺🇦❤🇺🇦💪🤜💥🇷🇺

""I SURVIVED HITLER, SURVIVED STALIN AND I WILL SURVIVE THAT ASSHOLE PUTIN TOO!"",

says 96-year-old Ukrainian…"
37,"22 April",1447,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
43,"22 April",1359,"RT @Klitschko: This is the recipe for resistance: women and men of good will. Thank you World Central Kitchen for your precious help! #Chef…"
44,"22 April",177,"RT @Ironhorse76: Happy Friday, Family!

FOLLOW ALL WHO: 

Lk
RT 
Cmt

RT if you agree - 🇺🇸🇺🇸🇺🇸 These midterms will determine the trajectory…"
45,"22 April",926,"RT @olex_scherba: A Mariupol grave. „A no-name babushka“…
God, please punish #Putin and pro-Putin #Russia for this. Some day, some time, bu…"
50,"22 April",1447,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
51,"22 April",1092,"RT @olex_scherba: A video goes around in #Ukraine - advising women how not to get raped if #RussianArmy caught you. Pee your pants, defecat…"
53,"22 April",96,"RT @Mariana_Betsa: That’s what Russian invaders do… A beautiful girl Maryna (15) from Kharkiv oblast. Russia bombarded her home. #StopRussi…"
56,"22 April",1447,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
58,"22 April",433,"RT @avalaina: Russians have to be accountable for all evil that they bring to our land and for all pain that they have done to our people.…"
59,"22 April",177,"RT @Ironhorse76: Happy Friday, Family!

FOLLOW ALL WHO: 

Lk
RT 
Cmt

RT if you agree - 🇺🇸🇺🇸🇺🇸 These midterms will determine the trajectory…"
60,"22 April",1359,"RT @Klitschko: This is the recipe for resistance: women and men of good will. Thank you World Central Kitchen for your precious help! #Chef…"
62,"22 April",96,"RT @Mariana_Betsa: That’s what Russian invaders do… A beautiful girl Maryna (15) from Kharkiv oblast. Russia bombarded her home. #StopRussi…"
63,"22 April",1447,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
64,"22 April",3109,"RT @joncoopertweets: Ukraine has sustained at least $120 billion in infrastructure damage as a result of Russia's war there. I think Ukrain…"
65,"22 April",78,"RT @halyapuff: #Russia 'sentences' #CrimeanTatar leader Mustafa #Dzhemilev for seeking to enter his native #Crimea 
#Ukraine #LetMyPeopleGo…"
66,"22 April",78,"RT @halyapuff: #Russia 'sentences' #CrimeanTatar leader Mustafa #Dzhemilev for seeking to enter his native #Crimea 
#Ukraine #LetMyPeopleGo…"
67,"22 April",337,"RT @PmurtTrump: FRIDAY DEMOCRATIC MEET UP!

November 8th will be here before we know it. Build the 🌊 blue wave🌊 to save our democracy from…"
68,"22 April",177,"RT @Ironhorse76: Happy Friday, Family!

FOLLOW ALL WHO: 

Lk
RT 
Cmt

RT if you agree - 🇺🇸🇺🇸🇺🇸 These midterms will determine the trajectory…"
70,"22 April",76,"RT @CanadaFP: The Russian regime has made it illegal to independently report on the war in Ukraine. 

Through Kremlin control, Russia’s med…"
71,"22 April",12815,"RT @olex_scherba: His name was Vitaly Skakun. He was 25. To stop RU fascists, he blew up a bridge at the cost of his life. Today he was car…"
73,"22 April",514,"RT @DefenceHQ: Latest Defence Intelligence update on the situation in Ukraine - 21 April 2022
 
Find out more about the UK government's res…"
74,"22 April",96,"RT @Mariana_Betsa: That’s what Russian invaders do… A beautiful girl Maryna (15) from Kharkiv oblast. Russia bombarded her home. #StopRussi…"
75,"22 April",1447,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
76,"22 April",1447,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
77,"22 April",1447,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
78,"22 April",9841,"RT @electroboyusa: 🇺🇦 If you are praying for President Zelenskyy, his wife and children, I want to follow you!

🇺🇦 And please RETWEET for p…"
79,"22 April",1447,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
80,"22 April",506,"RT @olex_scherba: A cemetery near #Chernihiv.
#RussianArmy paid a visit. 

#StandWithUkraine #StopRussia #ArmUkraineNow https://t.co/4ec4zp…"
81,"22 April",1359,"RT @Klitschko: This is the recipe for resistance: women and men of good will. Thank you World Central Kitchen for your precious help! #Chef…"
83,"22 April",9841,"RT @electroboyusa: 🇺🇦 If you are praying for President Zelenskyy, his wife and children, I want to follow you!

🇺🇦 And please RETWEET for p…"
84,"22 April",1447,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
85,"22 April",165,"RT @FCDOGovUK: We’re planning for Her Majesty’s Ambassador to Ukraine @MelSimmonsFCDO to return to Kyiv, and will re-open the British Embas…"
